"codigo_ibge","uf","codigo_uf","nome_municipio"
110001,"Rondônia","11","ALTA FLORESTA D'OESTE"
110002,"Rondônia","11","ARIQUEMES"
110003,"Rondônia","11","CABIXI"
110004,"Rondônia","11","CACOAL"
110005,"Rondônia","11","CEREJEIRAS"
110006,"Rondônia","11","COLORADO DO OESTE"
110007,"Rondônia","11","CORUMBIARA"
110008,"Rondônia","11","COSTA MARQUES"
110009,"Rondônia","11","ESPIGÃO D'OESTE"
110010,"Rondônia","11","GUAJARÁ-MIRIM"
110011,"Rondônia","11","JARU"
110012,"Rondônia","11","JI-PARANÁ"
110013,"Rondônia","11","MACHADINHO D'OESTE"
110014,"Rondônia","11","NOVA BRASILÂNDIA D'OESTE"
110015,"Rondônia","11","OURO PRETO DO OESTE"
110018,"Rondônia","11","PIMENTA BUENO"
110020,"Rondônia","11","PORTO VELHO"
110025,"Rondônia","11","PRESIDENTE MÉDICI"
110026,"Rondônia","11","RIO CRESPO"
110028,"Rondônia","11","ROLIM DE MOURA"
110029,"Rondônia","11","SANTA LUZIA D'OESTE"
110030,"Rondônia","11","VILHENA"
110032,"Rondônia","11","SÃO MIGUEL DO GUAPORÉ"
110033,"Rondônia","11","NOVA MAMORÉ"
110034,"Rondônia","11","ALVORADA D'OESTE"
110037,"Rondônia","11","ALTO ALEGRE DOS PARECIS"
110040,"Rondônia","11","ALTO PARAÍSO"
110045,"Rondônia","11","BURITIS"
110050,"Rondônia","11","NOVO HORIZONTE DO OESTE"
110060,"Rondônia","11","CACAULÂNDIA"
110070,"Rondônia","11","CAMPO NOVO DE RONDÔNIA"
110080,"Rondônia","11","CANDEIAS DO JAMARI"
110090,"Rondônia","11","CASTANHEIRAS"
110092,"Rondônia","11","CHUPINGUAIA"
110094,"Rondônia","11","CUJUBIM"
110100,"Rondônia","11","GOVERNADOR JORGE TEIXEIRA"
110110,"Rondônia","11","ITAPUÃ DO OESTE"
110120,"Rondônia","11","MINISTRO ANDREAZZA"
110130,"Rondônia","11","MIRANTE DA SERRA"
110140,"Rondônia","11","MONTE NEGRO"
110143,"Rondônia","11","NOVA UNIÃO"
110145,"Rondônia","11","PARECIS"
110146,"Rondônia","11","PIMENTEIRAS DO OESTE"
110147,"Rondônia","11","PRIMAVERA DE RONDÔNIA"
110148,"Rondônia","11","SÃO FELIPE D'OESTE"
110149,"Rondônia","11","SÃO FRANCISCO DO GUAPORÉ"
110150,"Rondônia","11","SERINGUEIRAS"
110155,"Rondônia","11","TEIXEIRÓPOLIS"
110160,"Rondônia","11","THEOBROMA"
110170,"Rondônia","11","URUPÁ"
110175,"Rondônia","11","VALE DO ANARI"
110180,"Rondônia","11","VALE DO PARAÍSO"
120001,"Acre","12","ACRELÂNDIA"
120005,"Acre","12","ASSIS BRASIL"
120010,"Acre","12","BRASILÉIA"
120013,"Acre","12","BUJARI"
120017,"Acre","12","CAPIXABA"
120020,"Acre","12","CRUZEIRO DO SUL"
120025,"Acre","12","EPITACIOLÂNDIA"
120030,"Acre","12","FEIJÓ"
120032,"Acre","12","JORDÃO"
120033,"Acre","12","MÂNCIO LIMA"
120034,"Acre","12","MANOEL URBANO"
120035,"Acre","12","MARECHAL THAUMATURGO"
120038,"Acre","12","PLÁCIDO DE CASTRO"
120039,"Acre","12","PORTO WALTER"
120040,"Acre","12","RIO BRANCO"
120042,"Acre","12","RODRIGUES ALVES"
120043,"Acre","12","SANTA ROSA DO PURUS"
120045,"Acre","12","SENADOR GUIOMARD"
120050,"Acre","12","SENA MADUREIRA"
120060,"Acre","12","TARAUACÁ"
120070,"Acre","12","XAPURI"
120080,"Acre","12","PORTO ACRE"
130002,"Amazonas","13","ALVARÃES"
130006,"Amazonas","13","AMATURÁ"
130008,"Amazonas","13","ANAMÃ"
